Income,Gender,Age,Age Range,Political Affiliation,Do you approve or disapprove of how Donald Trump is handling his job as president?,What is your highest level of education? ,Q5OTH1,What is your race?,Q6OTH1,What is your marital status?,Q7OTH1,q8x,What would you say is the likelihood that your current job will be entirely performed by robots or computers within the next decade?,"Do you believe that climate change is real and caused by people, real but not caused by people, or not real at all?",How many Transformers movies have you seen? ,q11x,Do you agree or disagree with the following statement: scientists are generally honest and are serving the public good. ,Do you agree or disagree with the following statement: vaccines are safe and protect children from disease.,"How many books, if any, have you read in the past year?",q14x,Do you believe in ghosts?,What percentage of the federal budget would you estimate is spent on scientific research?,q16x,"Is federal funding of scientific research too high, too low, or about right?",True or false: the earth is always farther away from the sun in the winter than in the summer.,"If you had to choose: would you rather be smart and sad, or dumb and happy?"
,Female,45,45-54,DK/REF,Strongly disapprove,College degree,,Black,,Divorced,,,Likely,Real but not Caused by People,,Yes,Strongly Agree,Neither Agree nor Disagree,10,,Yes,,Yes,DK/REF,TRUE,DK/REF
,Female,49,45-54,Democrat,Strongly disapprove,Graduate degree,,Asian,,Married,,,Unlikely,Real and Caused by People,2,,Strongly Agree,Strongly Agree,25,,No,2,,Too Low,FALSE,Smart and Sad
,Female,18,18-24,DK/REF,Strongly disapprove,High school,,Black,,Single,,,Unlikely,Real and Caused by People,0,,Somewhat Disagree,Somewhat Agree,40,,No,30,,About Right,FALSE,Dumb and happy
,Female,30,25-34,Independent,Strongly disapprove,Some college,,Black,,Married,,,Likely,Real but not Caused by People,3,,Strongly Agree,Somewhat Disagree,5,,Yes,20,,Too High,FALSE,Smart and Sad
,Female,29,25-34,Independent,Strongly disapprove,College degree,,White,,Single,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,2,,No,5,,Too Low,TRUE,Smart and Sad
,Female,21,18-24,Republican,Strongly Approve,Some college,,White,,Single,,,Unlikely,Real but not Caused by People,3,,Somewhat Disagree,Strongly Agree,5,,No,5,,About Right,TRUE,Dumb and happy
,Male,75,65+,Independent,Strongly Approve,College degree,,White,,Divorced,,,Likely,Real but not Caused by People,3,,Somewhat Agree,Somewhat Agree,4,,Yes,5,,Too Low,TRUE,Smart and Sad
,Female,50,45-54,Democrat,Strongly disapprove,Some college,,White,,In a relationship,,,Unlikely,Real and Caused by People,1,,Strongly Disagree,Somewhat Disagree,2,,Yes,2,,Too Low,DK/REF,Dumb and happy
36000,Female,87,65+,DK/REF,Somewhat Approve,Some college,,White,,Widowed,,,Unlikely,Real but not Caused by People,0,,Somewhat Agree,Strongly Agree,20,,No,,Yes,DK/REF,FALSE,Smart and Sad
,Male,72,65+,Democrat,Strongly disapprove,College degree,,White,,Widowed,,,Unlikely,Real and Caused by People,1,,Somewhat Agree,Strongly Agree,12,,DK/REF,12,,Too Low,FALSE,Smart and Sad
,Female,54,45-54,Independent,Neither approve nor disapprove,College degree,,White,,Widowed,,,Unlikely,Real and Caused by People,,Yes,Somewhat Agree,Strongly Agree,100,,Yes,10,,Too Low,FALSE,Smart and Sad
,Female,18,18-24,Democrat,Somewhat disapprove,College degree,,Latino,,Single,,,Unlikely,Real and Caused by People,2,,Somewhat Agree,Somewhat Agree,30,,No,70,,Too High,TRUE,Smart and Sad
,Male,41,35-44,DK/REF,Strongly disapprove,Some college,,Asian,,Single,,,Unlikely,Real and Caused by People,3,,Somewhat Agree,Somewhat Agree,2,,DK/REF,,Yes,Too Low,DK/REF,Smart and Sad
,Male,21,18-24,Independent,DK/REF,Some college,,Asian,,In a relationship,,,Likely,Real and Caused by People,3,,Somewhat Agree,Somewhat Agree,2,,No,15,,About Right,FALSE,Dumb and happy
,Male,70,65+,Democrat,Somewhat Approve,Some college,,White,,Widowed,,,Unlikely,Real but not Caused by People,1,,Strongly Disagree,Somewhat Agree,0,,No,15,,DK/REF,FALSE,Dumb and happy
,Female,22,18-24,Independent,Strongly disapprove,College degree,,Latino,,Single,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,5,,No,,Yes,Too Low,DK/REF,Smart and Sad
,Female,97,65+,Independent,Somewhat Approve,College degree,,White,,Widowed,,,Unlikely,DK/REF,,Yes,Somewhat Disagree,DK/REF,5,,No,10,,DK/REF,TRUE,DK/REF
,Female,35,35-44,DK/REF,DK/REF,College degree,,Asian,,Single,,,Likely,Real and Caused by People,2,,Strongly Agree,Somewhat Agree,7,,No,,Yes,About Right,FALSE,Dumb and happy
,Female,40,35-44,Democrat,Strongly disapprove,Some college,,Asian,,Married,,,Unlikely,Real and Caused by People,4,,Somewhat Agree,Strongly Agree,0,,Yes,10,,About Right,FALSE,Smart and Sad
,Male,28,25-34,Independent,Somewhat Approve,Some college,,Other,Portuguese,In a relationship,,,Unlikely,Real and Caused by People,5,,Somewhat Agree,Somewhat Agree,30,,No,5,,About Right,TRUE,Dumb and happy
,Male,50,45-54,DK/REF,DK/REF,College degree,,DK/REF,,Single,,,Unlikely,Real and Caused by People,3,,Strongly Disagree,DK/REF,7,,No,,Yes,Too High,DK/REF,Smart and Sad
,Male,29,25-34,DK/REF,Neither approve nor disapprove,Some college,,Latino,,Single,,,Unlikely,Real and Caused by People,1,,Somewhat Agree,Strongly Agree,3,,No,5,,Too Low,FALSE,Smart and Sad
,Male,27,25-34,Independent,Strongly disapprove,College degree,,Other,Middle Eastern,Married,,,Unlikely,Real and Caused by People,3,,Strongly Agree,Strongly Agree,3,,No,1,,Too Low,FALSE,Smart and Sad
106000,Male,50,45-54,Independent,DK/REF,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,4,,DK/REF,5,,Too Low,TRUE,Dumb and happy
,Male,20,18-24,Democrat,Strongly disapprove,Some college,,White,,Single,,,Unlikely,Real and Caused by People,3,,Somewhat Agree,Somewhat Agree,7,,No,5,,Too Low,TRUE,Smart and Sad
,Male,34,25-34,Democrat,Somewhat disapprove,Some college,,Black,,In a relationship,,,Unlikely,Real and Caused by People,3,,Somewhat Disagree,Strongly Agree,60,,Yes,20,,About Right,FALSE,Dumb and happy
,Other,34,25-34,Independent,Somewhat Approve,College degree,,White,,DK/REF,,,Likely,Real but not Caused by People,2,,Somewhat Agree,Strongly Agree,18,,No,1,,Too High,FALSE,Smart and Sad
,Male,34,25-34,Democrat,Strongly Approve,High school,,White,,Single,,,Unlikely,Real and Caused by People,1,,Somewhat Agree,Strongly Agree,1,,Yes,3,,Too Low,FALSE,Smart and Sad
,Male,33,25-34,DK/REF,Neither approve nor disapprove,Graduate degree,,Black,,Single,,,Unlikely,DK/REF,3,,Somewhat Disagree,Neither Agree nor Disagree,4,,No,6,,Too Low,DK/REF,Dumb and happy
,Female,36,35-44,DK/REF,DK/REF,College degree,,White,,Married,,Yes,Unlikely,DK/REF,2,,Strongly Agree,Somewhat Agree,50,,Yes,,Yes,About Right,TRUE,Smart and Sad
,Male,74,65+,DK/REF,Strongly Approve,High school,,White,,Married,,,Unlikely,Real but not Caused by People,,Yes,Somewhat Agree,Strongly Agree,,Yes,No,,Yes,Too High,DK/REF,Dumb and happy
,Other,21,18-24,DK/REF,Strongly Approve,Other,Middle School,Black,,Single,,,Likely,Real and Caused by People,3,,Strongly Disagree,Somewhat Disagree,,Yes,No,6,,Too High,FALSE,Dumb and happy
,Male,29,25-34,Republican,Somewhat disapprove,College degree,,White,,Married,,,Unlikely,Real and Caused by People,2,,Strongly Agree,Somewhat Agree,0,,Yes,50,,Too Low,TRUE,Dumb and happy
,Female,37,35-44,Independent,Strongly Approve,High school,,White,,Married,,,Unlikely,Real but not Caused by People,0,,Somewhat Disagree,Strongly Disagree,0,,No,,Yes,Too High,FALSE,Dumb and happy
,Female,79,65+,Independent,Somewhat disapprove,High school,,White,,Married,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Strongly Agree,35,,No,10,,DK/REF,FALSE,DK/REF
,Male,23,18-24,Independent,Strongly disapprove,Graduate degree,,Latino,,Single,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,5,,No,0.05,,Too Low,TRUE,Dumb and happy
,Male,77,65+,Democrat,Strongly disapprove,College degree,,Black,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,10,,Yes,35,,Too Low,FALSE,Smart and Sad
,Male,36,35-44,Republican,Strongly Approve,Some college,,Latino,,Married,,,Unlikely,Real but not Caused by People,4,,Strongly Agree,Strongly Agree,10,,No,20,,About Right,FALSE,DK/REF
,Male,69,65+,Republican,Strongly Approve,Some college,,White,,Married,,,Unlikely,Not Real At All,0,,Strongly Disagree,DK/REF,3,,DK/REF,5,,About Right,TRUE,Dumb and happy
,Female,20,18-24,Democrat,Strongly disapprove,High school,,White,,Single,,,Likely,Real and Caused by People,4,,Strongly Agree,Strongly Agree,100,,No,20,,Too Low,FALSE,Smart and Sad
,Male,34,25-34,Independent,Strongly disapprove,Some college,,Black,,Married,,,Unlikely,Real and Caused by People,2,,Somewhat Agree,Strongly Agree,0,,No,5,,Too Low,TRUE,Dumb and happy
,Male,23,18-24,Independent,Neither approve nor disapprove,Some college,,White,,Single,,,Unlikely,Real but not Caused by People,0,,Somewhat Agree,Strongly Agree,9,,No,,Yes,About Right,FALSE,Dumb and happy
,Male,51,45-54,Independent,Strongly disapprove,College degree,,White,,Married,,,Unlikely,Real and Caused by People,2,,Strongly Agree,Strongly Agree,6,,No,1,,About Right,FALSE,Smart and Sad
,Female,68,65+,Republican,Strongly Approve,High school,,White,,Married,,,Likely,DK/REF,0,,Somewhat Disagree,Somewhat Disagree,4,,Yes,,Yes,Too High,DK/REF,Dumb and happy
,Female,68,65+,Democrat,Strongly disapprove,College degree,,White,,Divorced,,,Unlikely,Real and Caused by People,1,,Strongly Agree,Strongly Agree,300,,No,3,,Too Low,FALSE,Smart and Sad
,Female,44,35-44,Democrat,Strongly disapprove,High school,,Black,,Single,,,Likely,Real and Caused by People,4,,Strongly Agree,Somewhat Agree,12,,Yes,,Yes,About Right,TRUE,Dumb and happy
,Female,19,18-24,DK/REF,DK/REF,College degree,,White,,Single,,,Likely,DK/REF,0,,Strongly Disagree,DK/REF,9,,No,,Yes,DK/REF,FALSE,Dumb and happy
,Male,20,18-24,Republican,Somewhat Approve,Some college,,White,,Single,,,Unlikely,Real and Caused by People,2,,Somewhat Agree,Strongly Agree,12,,No,1,,Too Low,FALSE,Smart and Sad
,Female,31,25-34,DK/REF,DK/REF,Some college,,Black,,In a relationship,,,Unlikely,Real but not Caused by People,,Yes,DK/REF,Strongly Agree,0,,Yes,,Yes,DK/REF,TRUE,DK/REF
,Female,67,65+,Republican,Strongly Approve,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Strongly Agree,150,,No,,Yes,DK/REF,FALSE,Smart and Sad
127000,Female,85,65+,DK/REF,Somewhat Approve,DK/REF,,White,,Married,,,DK/REF,DK/REF,0,,Somewhat Agree,Somewhat Agree,0,,Yes,,Yes,About Right,TRUE,DK/REF
24000,Female,28,25-34,Independent,Somewhat Approve,College degree,,White,,Single,,,Unlikely,Real and Caused by People,2,,Somewhat Agree,Strongly Agree,0,,Yes,50,,About Right,TRUE,Dumb and happy
8000,Female,50,45-54,Republican,Strongly Approve,High school,,White,,Married,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Strongly Agree,6,,Yes,,Yes,About Right,TRUE,Dumb and happy
60000,Male,39,35-44,Democrat,Strongly disapprove,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,25,,No,,Yes,Too Low,TRUE,Smart and Sad
167000,Female,34,25-34,Independent,Strongly disapprove,Some college,,White,,Married,,,Unlikely,DK/REF,1,,Somewhat Agree,Strongly Agree,36,,No,,Yes,Too Low,TRUE,Dumb and happy
43000,Male,50,45-54,Independent,DK/REF,High school,,White,,Married,,,Likely,Real and Caused by People,5,,Somewhat Disagree,Strongly Disagree,2,,No,,Yes,DK/REF,TRUE,Dumb and happy
121000,Female,49,45-54,Democrat,Strongly disapprove,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,12,,Yes,8,,DK/REF,FALSE,Dumb and happy
74000,Female,42,35-44,Democrat,Strongly disapprove,Some college,,White,,Married,,,Unlikely,Real and Caused by People,2,,Strongly Agree,Strongly Agree,3,,No,,Yes,Too Low,TRUE,Smart and Sad
101000,Female,42,35-44,Democrat,Strongly disapprove,Graduate degree,,DK/REF,,Married,,,Likely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,2,,Yes,,Yes,About Right,FALSE,Smart and Sad
360000,Female,65,65+,Independent,Strongly disapprove,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,DK/REF,12,,DK/REF,5,,Too Low,TRUE,Smart and Sad
30000,Female,49,45-54,Democrat,Strongly disapprove,College degree,,White,,Widowed,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Disagree,50,,Yes,1,,Too Low,FALSE,Smart and Sad
80000,Male,50,45-54,Republican,Somewhat Approve,College degree,,White,,Married,,,Unlikely,Real and Caused by People,5,,Somewhat Agree,Strongly Agree,4,,No,1,,About Right,FALSE,Dumb and happy
72000,Other,70,65+,Independent,Somewhat Approve,Graduate degree,,DK/REF,,DK/REF,,,Unlikely,Not Real At All,0,,Strongly Agree,Strongly Disagree,25,,Yes,0,,About Right,TRUE,Smart and Sad
81000,Female,27,25-34,DK/REF,Strongly disapprove,Graduate degree,,Latino,,In a relationship,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,27,,Yes,7,,Too Low,FALSE,Dumb and happy
54000,Female,54,45-54,Republican,Strongly Approve,Some college,,White,,Married,,,Likely,Real but not Caused by People,0,,DK/REF,DK/REF,20,,No,,Yes,DK/REF,DK/REF,Dumb and happy
23000,Male,73,65+,Independent,Somewhat disapprove,High school,,Asian,,Married,,,Unlikely,Not Real At All,0,,Strongly Disagree,Strongly Agree,3,,No,,Yes,Too High,TRUE,Smart and Sad
44000,Female,44,35-44,DK/REF,DK/REF,Some college,,White,,Widowed,,,Unlikely,Real and Caused by People,4,,Somewhat Disagree,Somewhat Agree,6,,Yes,75,,Too Low,TRUE,Smart and Sad
159000,Female,45,45-54,Democrat,Strongly disapprove,College degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,18,,No,5,,Too Low,FALSE,Smart and Sad
163000,Male,45,45-54,DK/REF,Strongly disapprove,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,2,,Strongly Agree,Strongly Agree,12,,No,2,,Too Low,TRUE,Dumb and happy
44000,Female,80,65+,Democrat,Strongly disapprove,High school,,White,,Married,,,Likely,Real and Caused by People,0,,Somewhat Agree,Somewhat Agree,20,,Yes,50,,Too Low,TRUE,Smart and Sad
47000,Female,45,45-54,Democrat,Strongly disapprove,Other,Post-Graduate,White,,Married,,,Unlikely,Real and Caused by People,1,,Strongly Agree,Strongly Agree,20,,Yes,5,,Too Low,DK/REF,Smart and Sad
124000,Female,80,65+,Independent,Strongly disapprove,College degree,,White,,Widowed,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,20,,No,,Yes,About Right,TRUE,Smart and Sad
97000,Other,32,25-34,Independent,Strongly disapprove,High school,,Latino,,Single,,,Likely,Real and Caused by People,0,,Somewhat Agree,Somewhat Agree,3,,No,,Yes,DK/REF,TRUE,Dumb and happy
220000,Male,45,45-54,Democrat,Strongly disapprove,College degree,,Latino,,In a relationship,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,6,,Yes,1,,Too Low,TRUE,Smart and Sad
,Female,24,18-24,Independent,Strongly disapprove,Some college,,White,,In a relationship,,,Unlikely,Real but not Caused by People,0,,Somewhat Disagree,Somewhat Agree,30,,Yes,30,,DK/REF,FALSE,Smart and Sad
,Male,54,45-54,Republican,Strongly Approve,Graduate degree,,White,,Single,,,Unlikely,Real but not Caused by People,5,,Strongly Disagree,Strongly Agree,3,,Yes,2,,DK/REF,FALSE,Dumb and happy
,Female,43,35-44,Independent,Strongly disapprove,High school,,White,,Widowed,,,Unlikely,Real and Caused by People,2,,Strongly Agree,Strongly Agree,0,,No,,Yes,Too Low,TRUE,Smart and Sad
,Female,43,35-44,Democrat,Strongly disapprove,College degree,,White,,Single,,,Unlikely,Real and Caused by People,,Yes,Strongly Agree,Somewhat Agree,7,,No,,Yes,About Right,FALSE,Smart and Sad
,Female,31,25-34,Democrat,Strongly disapprove,College degree,,Black,,Married,,,Unlikely,Real and Caused by People,5,,Strongly Agree,Somewhat Disagree,4,,No,,Yes,Too High,FALSE,Smart and Sad
,Male,31,25-34,DK/REF,DK/REF,College degree,,Latino,,Married,,,Unlikely,Real and Caused by People,4,,Somewhat Agree,Strongly Agree,20,,No,,Yes,Too Low,FALSE,DK/REF
,Female,71,65+,Republican,Strongly Approve,College degree,,White,,Married,,,Unlikely,Real but not Caused by People,1,,Somewhat Agree,Strongly Agree,10,,No,60,,About Right,TRUE,Dumb and happy
,Male,40,35-44,Independent,Strongly disapprove,Graduate degree,,White,,Married,,,Unlikely,Real but not Caused by People,4,,Somewhat Agree,Strongly Agree,6,,No,2,,Too Low,TRUE,Smart and Sad
,Male,28,25-34,Republican,Neither approve nor disapprove,College degree,,White,,Married,,,Unlikely,Real but not Caused by People,2,,Somewhat Agree,Somewhat Agree,1,,No,1,,Too Low,FALSE,Dumb and happy
,Male,47,45-54,Independent,Somewhat disapprove,High school,,Black,,Single,,,Unlikely,Real and Caused by People,1,,Neither Agree nor Disagree,Somewhat Disagree,3,,No,,Yes,Too High,TRUE,DK/REF
,Male,22,18-24,Democrat,Somewhat Approve,Graduate degree,,Black,,In a relationship,,,Unlikely,Real and Caused by People,1,,Somewhat Agree,Strongly Agree,20,,No,25,,Too Low,FALSE,Dumb and happy
,Male,71,65+,Democrat,Somewhat disapprove,High school,,Black,,Single,,,Likely,Real and Caused by People,2,,Somewhat Disagree,Strongly Agree,9,,No,50,,Too High,TRUE,Dumb and happy
,Male,77,65+,Republican,DK/REF,Some college,,White,,Divorced,,,Unlikely,DK/REF,1,,DK/REF,DK/REF,30,,No,10,,Too Low,FALSE,Smart and Sad
16000,Female,68,65+,Democrat,DK/REF,College degree,,Latino,,Married,,,Unlikely,Real and Caused by People,0,,DK/REF,DK/REF,2,,No,70,,DK/REF,DK/REF,Dumb and happy
,Female,46,45-54,Democrat,Strongly disapprove,College degree,,White,,Married,,,Unlikely,Real and Caused by People,1,,Somewhat Agree,Somewhat Agree,0,,No,20,,About Right,TRUE,Dumb and happy
,Female,25,25-34,Democrat,Strongly disapprove,Graduate degree,,DK/REF,,Single,,Yes,Unlikely,Real and Caused by People,1,,Strongly Agree,Strongly Agree,8,,Yes,15,,Too Low,FALSE,Dumb and happy
,Female,46,45-54,Independent,Strongly disapprove,Graduate degree,,White,,Married,,,Unlikely,DK/REF,3,,Somewhat Agree,Strongly Agree,4,,Yes,5,,Too Low,TRUE,Dumb and happy
,Male,50,45-54,Independent,Strongly disapprove,Graduate degree,,Black,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Somewhat Agree,10,,No,5,,About Right,TRUE,Dumb and happy
,Female,25,25-34,Independent,Strongly disapprove,College degree,,Black,,Single,,,Unlikely,Real and Caused by People,0,,Strongly Disagree,Strongly Disagree,10,,Yes,35,,DK/REF,TRUE,Smart and Sad
,Female,29,25-34,Democrat,Strongly disapprove,High school,,White,,In a relationship,,,Unlikely,Real and Caused by People,,Yes,Strongly Agree,Somewhat Disagree,25,,Yes,,Yes,Too High,TRUE,Smart and Sad
,Male,20,18-24,Republican,Strongly Approve,Some college,,White,,Single,,,Unlikely,Real but not Caused by People,4,,Strongly Disagree,Strongly Agree,20,,No,20,,Too High,TRUE,Smart and Sad
,Male,40,35-44,DK/REF,DK/REF,Some college,,Latino,,Married,,,Unlikely,Real and Caused by People,2,,Somewhat Agree,Strongly Agree,,Yes,Yes,1,,Too Low,FALSE,Smart and Sad
,Male,32,25-34,Independent,Strongly disapprove,College degree,,White,,Single,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Strongly Agree,20,,No,45,,Too Low,TRUE,Dumb and happy
,Female,54,45-54,Republican,Somewhat Approve,Some college,,White,,Married,,,Unlikely,Real but not Caused by People,0,,Somewhat Agree,Strongly Agree,10,,Yes,5,,DK/REF,TRUE,Smart and Sad
,Male,35,35-44,Republican,Strongly disapprove,High school,,DK/REF,,In a relationship,,,Unlikely,Real and Caused by People,2,,Strongly Agree,Strongly Agree,2,,No,20,,About Right,TRUE,Dumb and happy
,Female,19,18-24,Democrat,Strongly disapprove,Some college,,White,,Single,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Strongly Agree,4,,No,20,,Too Low,FALSE,Dumb and happy
,Female,67,65+,Democrat,Strongly disapprove,Some college,,White,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,20,,Yes,20,,Too Low,DK/REF,DK/REF
,Male,35,35-44,Independent,Strongly disapprove,College degree,,White,,Married,,,Unlikely,Real and Caused by People,1,,Strongly Agree,Strongly Agree,10,,No,1,,Too Low,FALSE,Smart and Sad
,Female,42,35-44,Republican,Strongly disapprove,Some college,,White,,Married,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Strongly Agree,3,,Yes,15,,Too Low,TRUE,Dumb and happy
,Male,91,65+,Democrat,DK/REF,High school,,Black,,Widowed,,,DK/REF,Real but not Caused by People,,Yes,DK/REF,DK/REF,1,,No,,Yes,DK/REF,TRUE,DK/REF
,Female,21,18-24,Republican,Strongly Approve,Some college,,White,,In a relationship,,,Unlikely,Not Real At All,5,,Somewhat Agree,Strongly Agree,4,,Yes,10,,Too Low,TRUE,Dumb and happy
,Female,67,65+,Republican,Strongly Approve,High school,,White,,Widowed,,,Unlikely,Real and Caused by People,2,,Strongly Disagree,Strongly Agree,15,,Yes,,Yes,Too Low,FALSE,Dumb and happy
,Male,32,25-34,DK/REF,Strongly disapprove,Some college,,Black,,Single,,,Unlikely,Real and Caused by People,5,,Strongly Agree,Strongly Agree,5,,No,10,,Too Low,TRUE,Dumb and happy
,Male,30,25-34,Independent,Strongly disapprove,College degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,10,,No,10,,Too Low,FALSE,Dumb and happy
,Female,71,65+,Democrat,Strongly disapprove,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,3,,Strongly Agree,Strongly Agree,40,,No,5,,Too Low,TRUE,Smart and Sad
,Male,73,65+,Independent,Somewhat Approve,Graduate degree,,White,,Married,,,Unlikely,Real but not Caused by People,0,,Somewhat Agree,Strongly Agree,3,,No,5,,Too Low,TRUE,Dumb and happy
,Female,38,35-44,Republican,Somewhat Approve,College degree,,White,,Divorced,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Strongly Agree,20,,No,10,,About Right,FALSE,Dumb and happy
,Female,30,25-34,Democrat,Somewhat disapprove,Some college,,White,,Married,,,Unlikely,Not Real At All,3,,Somewhat Agree,Strongly Agree,15,,No,,Yes,About Right,TRUE,Dumb and happy
,Male,20,18-24,DK/REF,DK/REF,Some college,,White,,In a relationship,,,Unlikely,Real but not Caused by People,5,,Neither Agree nor Disagree,Neither Agree nor Disagree,5,,No,10,,About Right,FALSE,Dumb and happy
,Female,45,45-54,Independent,Strongly disapprove,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,10,,DK/REF,5,,DK/REF,FALSE,DK/REF
,Female,75,65+,Republican,DK/REF,High school,,White,,Widowed,,,Likely,Real and Caused by People,0,,Somewhat Disagree,Strongly Agree,100,,Yes,,Yes,Too High,TRUE,Dumb and happy
,Female,48,45-54,Democrat,Strongly disapprove,Other,Masters' Degree,White,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,15,,No,10,,Too Low,FALSE,Smart and Sad
,Male,21,18-24,DK/REF,DK/REF,Some college,,White,,In a relationship,,,Unlikely,Real and Caused by People,4,,Somewhat Agree,Strongly Agree,0,,No,70,,Too Low,FALSE,Dumb and happy
,Male,46,45-54,Independent,Somewhat disapprove,High school,,Latino,,Other,Engaged,,Unlikely,Real and Caused by People,4,,Strongly Agree,Somewhat Disagree,,Yes,Yes,,Yes,DK/REF,TRUE,Dumb and happy
,Other,92,65+,Independent,Somewhat disapprove,High school,,Asian,,Divorced,,,Likely,Real and Caused by People,3,,Strongly Agree,Strongly Agree,0,,Yes,95,,Too Low,TRUE,Dumb and happy
,Male,71,65+,Republican,Somewhat Approve,College degree,,White,,Widowed,,,Unlikely,Real and Caused by People,,Yes,Strongly Disagree,Somewhat Agree,2,,Yes,5,,Too High,FALSE,DK/REF
,Female,36,35-44,DK/REF,Somewhat Approve,High school,,White,,Divorced,,,Unlikely,Real and Caused by People,1,,Somewhat Agree,Strongly Agree,200,,Yes,45,,Too Low,TRUE,Smart and Sad
,Female,30,25-34,Democrat,Strongly disapprove,High school,,White,,Single,,,Unlikely,Real and Caused by People,2,,Strongly Agree,Strongly Agree,15,,Yes,,Yes,Too Low,TRUE,Smart and Sad
,Male,36,35-44,Republican,Strongly Approve,College degree,,White,,Married,,,Unlikely,Real but not Caused by People,2,,Somewhat Disagree,Strongly Agree,6,,No,2,,About Right,FALSE,Dumb and happy
,Male,48,45-54,DK/REF,Strongly disapprove,College degree,,DK/REF,,Single,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Disagree,90,,No,,Yes,Too High,FALSE,Smart and Sad
,Male,43,35-44,Independent,Strongly Approve,High school,,White,,Married,,,Likely,Real and Caused by People,5,,Somewhat Disagree,Somewhat Agree,0,,Yes,3,,Too Low,TRUE,Dumb and happy
,Male,27,25-34,Republican,Strongly Approve,High school,,White,,Married,,,Unlikely,Real and Caused by People,4,,Strongly Disagree,Somewhat Disagree,4,,Yes,20,,Too High,TRUE,Dumb and happy
,Female,36,35-44,Democrat,Strongly disapprove,Graduate degree,,White,,Divorced,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,40,,Yes,5,,Too Low,FALSE,Smart and Sad
390000,Male,48,45-54,Democrat,Strongly disapprove,College degree,,White,,Married,,,Unlikely,Real and Caused by People,1,,Strongly Agree,Strongly Agree,5,,Yes,3,,Too Low,FALSE,Smart and Sad
170000,Male,46,45-54,Democrat,Somewhat disapprove,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,1,,Strongly Agree,Strongly Agree,6,,No,0,,Too Low,FALSE,Dumb and happy
92000,Male,99,65+,Republican,Somewhat Approve,College degree,,DK/REF,,Married,,,Unlikely,Real and Caused by People,3,,Somewhat Agree,Strongly Agree,15,,No,10,,About Right,TRUE,Dumb and happy
223000,Female,84,65+,Independent,DK/REF,Graduate degree,,Black,,Married,,,DK/REF,DK/REF,0,,Somewhat Agree,Strongly Agree,10,,No,,Yes,About Right,TRUE,Smart and Sad
102000,Male,37,35-44,Independent,Neither approve nor disapprove,High school,,Other,Native American,Married,,,Likely,Real and Caused by People,3,,Somewhat Disagree,Strongly Disagree,0,,Yes,,Yes,DK/REF,TRUE,Dumb and happy
68000,Male,44,35-44,Republican,Strongly Approve,Some college,,White,,Single,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,10,,No,,Yes,DK/REF,TRUE,Dumb and happy
160000,Male,65,65+,Democrat,Strongly disapprove,College degree,,White,,Married,,Yes,Unlikely,Real and Caused by People,0,,Strongly Agree,Somewhat Agree,0,,No,,Yes,About Right,DK/REF,DK/REF
70000,Female,38,35-44,Independent,Strongly disapprove,High school,,White,,Married,,,Unlikely,Real and Caused by People,0,,Somewhat Disagree,Strongly Agree,30,,No,5,,Too Low,FALSE,Dumb and happy
